Year,Month,Town,Category,Value
2018,5,BEDOK,Average Price,417134.1
2018,5,BEDOK,Min Price,200000
2018,5,BEDOK,Standard Deviation of Price,151991.8
2018,5,BEDOK,Average Area,89.74
2018,5,BEDOK,Min Area,44
2018,5,BEDOK,Standard Deviation of Area,25.7
