Year,Month,Town,Category,Value
2022,2,ANG MO KIO,Average Price,487196.77
2022,2,ANG MO KIO,Min Price,230000
2022,2,ANG MO KIO,Standard Deviation of Price,193661.56
2022,2,ANG MO KIO,Average Area,84.73
2022,2,ANG MO KIO,Min Area,44
2022,2,ANG MO KIO,Standard Deviation of Area,20.39
